ID,App_Name,Genre,Price,User_Rating,Rating_Count_Total,User_Review
1,PAC-MAN Premium,Adventure;Action & Adventure,3.99,4,21292,I love it but the app is so big if I have to keep downloading any more things I will run out of data. Please please please make the game save more data. I love the game   really. Please please please make it save more data  please.
2,Shanghai Mahjong,Arcade,0.99,4,8253,It's very addicting! I love this game! This is my favorite game ever. The controls are too sensitive and sometimes they're not sensitive enough.
3,Ms. PAC-MAN,Casual,3.99,4,7885,I honestly love this game. It's really easy to absorb yourself into  yet not too addictive. I absolutely love the simplicity of it
4,Solitaire by MobilityWare,Card,4.99,4.5,76720,Had 4 phones and none of them got this damn game to work. im so fucking pissed. Im missing out so much.
5,SCRABBLE Premium,Casual,7.99,3.5,105776,Its amazing but takes long to load but besides that can u make making an account easy like roblox making an account? Pls
6,FreeCell,Casual;Pretend Play,4.99,4.5,6340,This game is really good! The only problem is that the background can look really dull after a while.
7,Crash Bandicoot Nitro Kart 3D,Action,2.99,4,31456,TRASH GAME. DON’T DOWNLOAD
8,:) Sudoku +,Strategy,2.99,5,11447,Totally addictive!
9,Hangman.,Action,0,3,42316,"Too many ads and updates  even with the paid ""no ads"" version. Just trying to play with my friend  but get all of these distracting notifications for other nonsense in which I'm not interested."
10,Blackjack by MobilityWare,Casual,0,3.5,180087,This game is too easy! For difficulty settings after hard you should add extreme for people who want a challenge
11,Fieldrunners,Action,2.99,4,41633,The game ran smoothly on my device and kept me occupied for hours! Very Addicting!
12,PAC-MAN,Puzzle,0,3,508808,Love the gameplay  love the updates and constant improvements. Only wish there was a way to keep game play smooth when data is moving in and out in the background or a setting to suppress all other activity and give all resources this app when playing. Wish you had your own server to save purchases and game progress that worked across platforms.
13,First Words Animals,Sports,1.99,4,2576,It is an addicting games  that's for sure. I truly love the simpleness of the menus  and the sounds are lovely. I love it  and I've finished it many times now. I can safely rate it five stars. It's rather simple to master it once you get the hang of it  and further  more difficult levels provide a solid challenge  which is nice. There are a few packs that you must pay for  but there are more than enough free ones to allow someone to actually have fun with this game.
14,Fish Tycoon,Arcade,0.99,3.5,18943,Help would be greatly appreciated. I pre-registered the game and i downloaded it and it said that an error occurred. I followed the steps in the customer support area (reset phone  uninstalled app  cleared cache  etc.) It still wont work and i dont know why. Please help
15,Touchgrind,Arcade,4.99,4,35735,"Not bad. However, at least the first levels beginner/easy are too easy. The problem is that your AI doesn't register big mistakes which I tried as a test"
16,Phase 10 Pro - Play Your Friends!,Action,1.99,4.5,59155,Great game. Only thing wrong is that on 3 occasions I've just randomly lost my progress. It's getting to be a joke. I emailed customer service a week ago and still have had nothing back.
17,MASH,Racing,1.99,4,4913,Great game concept  with good graphics and some nice customization features. The gameplay against the AI is boring. The online play fun  if it works. The lag is killing the gameplay.
18,Wedding Dash Deluxe,Action,0.99,4.5,16567,Gets repetitive
19,Beer Pong Game,Arcade,0,2,187315,Fun and addicting... However the addiction quickly wears off when you figure out how to win. Wish there was a feature added that can keep the addiction
20,Skat,Casual,3.99,4.5,94,The game is so hard to put down and I am up late at night just playing the game
21,Zombieville USA,Puzzle,0.99,4,32988,Love the gameplay  love the updates and constant improvements. Only wish there was a way to keep game play smooth when data is moving in and out in the background or a setting to suppress all other activity and give all resources this app when playing. Wish you had your own server to save purchases and game progress that worked across platforms.
22,Tozzle - Toddler's favorite puzzle,Puzzle,2.99,4,2562,Game won't even open on my Nokia. Not sure if it's an issue regarding its last update or not  but I'm unable to even try the game at this time
23,Phrase Party!,Word,1.99,4,878,Had 4 phones and none of them got this damn game to work. im so fucking pissed. Im missing out so much.
24,Minesweeper Classic,Strategy,0.99,3.5,1140,This game is really good! The only problem is that the background can look really dull after a while.
25,Sally's Spa,Arcade,2.99,4.5,35074,I honestly love this game. It's really easy to absorb yourself into  yet not too addictive. I absolutely love the simplicity of it
26,NYTimes Crossword - Daily Word Puzzle Game,Puzzle,0,3.5,53465,Fun but i wish there was a way to send gifts to friends and more cool things to spend your cash on
27,Doodle Jump,Arcade,0.99,4.5,395261,Crashed instantly on new update. Please fix
28,iRagdoll - Ragdoll Physics,Arcade,0.99,4,1372,"Awsome Game doesnt disappoint, builders constantly evolving game play making it engaging and addictive 2 thumbs up to you guys ."
29,StickWars,Strategy,0.99,3.5,53821,Man this is the best game EVER  it's just so addicting! But there's a *downfall*  is there a way you can make it less *laggier* PLZ! It's JUST LAGG. And if you want your reviews to actually be seen by the company. Go to feedback for the app or something like that. Y did I write the review  idk
30,World Cup Table Tennis,Puzzle,0.99,4,17776,Not a nice game . It is a very nice game I loved it
31,2XL Supercross,Arcade,4.99,4,6093,Game won't even open on my Nokia. Not sure if it's an issue regarding its last update or not  but I'm unable to even try the game at this time
32,Pocket Tanks Deluxe,Music,4.99,4.5,5452,Fun but i wish there was a way to send gifts to friends and more cool things to spend your cash on
33,Sky Burger - Build & Match Food Free,Arcade,0,4.5,114096,The game ran smoothly on my device and kept me occupied for hours! Very Addicting!
34,Sunday Lawn,Arcade,0.99,3.5,107727,Best game I have ever played  10/10
35,Peggle Classic,Casual;Creativity,0.99,4.5,21416,Crashed in first few seconds  was unable to play  do not download.
36,SmartGo Player,Puzzle,2.99,4,533,I've been thinking of getting into this game for a while now but I regret not getting into it sooner! It's fun!
37,I Dig It,Racing,0.99,4,17190,Great game. Pretty addicting! And the best part is that it's free!
38,Unblock Me,Casual,0.99,4,7973,It's fun to play. They're constantly making adjustments and improvements  because they listen to the feedback. There isn't a high pay-to-win aspect  which is refreshing. The promise of new content with every event is really nice  too! Highly recommended!
39,Sonic The Hedgehog,Puzzle,2.99,4,19621,Love the gameplay  love the updates and constant improvements. Only wish there was a way to keep game play smooth when data is moving in and out in the background or a setting to suppress all other activity and give all resources this app when playing. Wish you had your own server to save purchases and game progress that worked across platforms.
40,10 Pin Shuffle Pro Bowling,Sports,3.99,4,7315,Fun but i wish there was a way to send gifts to friends and more cool things to spend your cash on
41,The Sims 3,Action,6.99,3.5,54408,Glitches and lags. Not worth installing
42,"Chess Pro with Coach - Learn,Play & Online Friends",Casual;Action & Adventure,9.99,4,8138,"Excellent Game, just one problem that the game runs very roughly, and sometimes it stops suddenly. So In the end as a conclusion, I would say that the co. should better work on the smoothness of the game. "
43,Crush the Castle,Casual,0.99,3.5,23810,Sometimes the first is always the best! I have maxed this game out. I have unlocked everything and completed all the challenges! And all without having to buy any powerups! :D An amazing game and well worth it! A must get!
44,Virtual Families,Arcade,1.99,3.5,18920,Fantastic. I was hesitant to buy at first due to the reviews that mentioned that there were many bugs. However  I've had as great an experience!
45,WORMS,Casual,1.99,4,5758,In-App Purchases are overpriced  but overall the gameplay was fun and kept me interested in the game.
46,Pixel Starships : 8Bit MMORPG,Puzzle,0,4.5,5565,It's fun to play. They're constantly making adjustments and improvements  because they listen to the feedback. There isn't a high pay-to-win aspect  which is refreshing. The promise of new content with every event is really nice  too! Highly recommended!
47,Traffic Rush,Action,0.99,3.5,213092,I honestly love this game. It's really easy to absorb yourself into  yet not too addictive. I absolutely love the simplicity of it
48,Resident Evil 4: PLATINUM,Arcade,4.99,4,6046,Loved playing for years! This is my oldest app. Now i must allow you unique device id for advertising. When I withdraw permission I can no longer play
49,Cartoon Wars,Adventure;Action & Adventure,0.99,3.5,35930,"I do prefer games like geometry dash more, but this is still a great time killer with great music. Very fun and would definitely recommend this game to people. However, there are way too many ads, so be prepared for that"
50,Moto X Mayhem,Casual,0.99,4,22557,In-App Purchases are overpriced  but overall the gameplay was fun and kept me interested in the game.
51,Spider: The Secret of Bryce Manor,Sports,1.99,4,6780,I love this game because this is the game where we test our focus
52,BATTLE BEARS: Zombies!,Strategy,0.99,3.5,50710,Never did a game make me so much immersed in it. I literally go mad trying to complete a level! Awesome! Just keep the new levels coming...
53,Monkey Preschool Lunchbox,Casual,1.99,4,9286,This has great gameplay but to many ads you watch more ads than you watch the game itself so I uninstalled and don't recommend
54,Alter Ego,Strategy,4.99,4,262,"The controls were  difficult at first when I started this game, but you get used to it. The new customization is very cool"
55,Parking Mania,Arcade,0.99,4.5,9657,Only bad ass game I play on my phone
56,Sudoku?,Puzzle,2.99,4.5,18332,Love the gameplay  love the updates and constant improvements. Only wish there was a way to keep game play smooth when data is moving in and out in the background or a setting to suppress all other activity and give all resources this app when playing. Wish you had your own server to save purchases and game progress that worked across platforms.
57,Letter Quiz - alphabet tracing for kids,Sports,1.99,4,472,The controls are more difficult than the last time I played this game  which was a year or so ago. The new customization is very cool
58,Bloons TD,Casual,2.99,4,7941,It is an addicting games  that's for sure. I truly love the simpleness of the menus  and the sounds are lovely. I love it  and I've finished it many times now. I can safely rate it five stars. It's rather simple to master it once you get the hang of it  and further  more difficult levels provide a solid challenge  which is nice. There are a few packs that you must pay for  but there are more than enough free ones to allow someone to actually have fun with this game.
59,Canabalt,Casual,2.99,4,4540,So addicting! Love this game.I have passed so many levels and this is my favorite game ever. Just one problem: The controls. Sometimes they're too sensitive and sometimes they're not sensitive enough.
60,Catan,Puzzle,1.99,4,15175,Had 4 phones and none of them got this damn game to work. im so fucking pissed. Im missing out so much.
61,King of Dragon Pass,Action,9.99,5,882,It is an addicting games  that's for sure. I truly love the simpleness of the menus  and the sounds are lovely. I love it  and I've finished it many times now. I can safely rate it five stars. It's rather simple to master it once you get the hang of it  and further  more difficult levels provide a solid challenge  which is nice. There are a few packs that you must pay for  but there are more than enough free ones to allow someone to actually have fun with this game.
62,DOOM Classic,Word,4.99,4,3970,This game is really good! The only problem is that the background can look really dull after a while.
63,Moorhuhn Deluxe - Crazy Chicken,Word,0.99,3,319,Sometimes the first is always the best! I have maxed this game out. I have unlocked everything and completed all the challenges! And all without having to buy any powerups! :D An amazing game and well worth it! A must get!
64,MONOPOLY Game,Casual,0.99,3.5,26482,Fun and addicting... However the addiction quickly wears off when you figure out how to win. Wish there was a feature added that can keep the addiction
65,Harry Potter: Spells,Puzzle,0.99,4,17023,Great game concept  with good graphics and some nice customization features. The gameplay against the AI is boring. The online play fun  if it works. The lag is killing the gameplay.
66,First Words Deluxe,Action,4.99,4,1101,I think this game is boring. Don’t bother
67,Clay Hunt,Puzzle,0.99,4,1193,The game ran smoothly on my device and kept me occupied for hours! Very Addicting!
68,Jet Car Stunts,Action,1.99,4,4088,Love this game! Its a great time killer  and the graphics are beautiful and relaxing. The only issue with this app is that  if you are playing online  it lags a lot.
69,Call of Duty: Zombies,Strategy,4.99,4,63943,Game takes too much data. Please do something about it. Otheriwse great game
70,Trenches,Casual,0.99,4,26732,Great game concept  with good graphics and some nice customization features. The gameplay against the AI is boring. The online play fun  if it works. The lag is killing the gameplay.
71,Rat On A Scooter XL,Action,0.99,4,19296,Good for beginner. Is there any ways to guide us how to count the points? As sometimes i saw there is a hint pop up shown not enough point to win the game.
72,Angry Birds,Arcade,0,4.5,824451,"I like the game, but I got a new phone and have to start over. I lost a lot of progress.. Why can't we login with email? I've had this game for years…"
73,The Font Game,Arcade,1.99,4.5,438,Its amazing but takes long to load but besides that can u make making an account easy like roblox making an account? Pls
